Lfd. Nummer;Name des Flughafens;Ort;Land;IATA;ICAO;Latitude;Longitude;Altitude;Zeitzone;DST;Zeitzonen-Datenbank;geo_punkt
330;Jena-Schöngleina Airport;Jena;Deutschland;0;EDBJ;50.915279388427734;11.714444160461426;380;1.0;E;Europe/Berlin;50.9152793884, 11.7144441605
10723;Elsenthal Grafe Airport;Elsenthal;Deutschland;0;EDNF;48.8224983215332;13.367500305175781;432;1.0;E;0;48.8224983215, 13.3675003052
320;Eisenhüttenstadt Airport;Eisenhuettenstadt;Deutschland;0;EDAE;52.195856;14.58753;44;1.0;E;Europe/Berlin;52.195856, 14.58753
317;Bautzen Airport;Bautzen;Deutschland;0;EDAB;51.19361114501953;14.519721984863281;173;1.0;E;Europe/Berlin;51.193611145, 14.5197219849
7903;Marl-Loemühle Airport;Recklinghausen;Deutschland;0;EDLM;51.647202;7.16333;73;1.0;U;Europe/Berlin;51.647202, 7.16333
8090;Ganderkesee Atlas Airfield Airport;Ganderkesee;Deutschland;0;EDWQ;53.036109924316406;8.505556106567383;29;1.0;E;Europe/Berlin;53.0361099243, 8.50555610657
8432;Gera-Leumnitz Airport;Gera;Deutschland;0;EDAJ;50.88166809082031;12.135832786560059;309;1.0;E;Europe/Berlin;50.8816680908, 12.1358327866
8620;Karlsruhe-Forchheim Airport;Karlsruhe;Deutschland;0;EDTK;48.9843;8.3355;116;1.0;E;Europe/Berlin;48.9843, 8.3355
8092;Damme Airport;Damme;Deutschland;0;EDWC;52.48749923706055;8.185556411743164;46;1.0;E;Europe/Berlin;52.4874992371, 8.18555641174
8119;Bad Neuenahr-Ahrweiler Airport;Bad Neuenahr;Deutschland;0;EDRA;50.557777404785156;7.136388778686523;205;1.0;E;Europe/Berlin;50.5577774048, 7.13638877869
770;Hohn Airport;Hohn;Deutschland;0;ETNH;54.312198638916016;9.538169860839844;12;1.0;E;Europe/Berlin;54.3121986389, 9.53816986084
390;Koblenz-Winningen Airport;Koblenz;Deutschland;0;EDRK;50.325558;7.528611;195;1.0;E;Europe/Berlin;50.325558, 7.528611
377;Mindelheim-Mattsies Airport;Mindelheim;Deutschland;0;EDMN;48.1069450378418;10.524999618530273;566;1.0;E;Europe/Berlin;48.1069450378, 10.5249996185
319;Dessau Airport;Dessau;Deutschland;0;EDAD;51.831693541;12.1909618378;57;1.0;E;Europe/Berlin;51.831693541, 12.1909618378
334;Anklam Airport;Anklam;Deutschland;0;EDCA;53.83277893066406;13.668610572814941;5;1.0;E;Europe/Berlin;53.8327789307, 13.6686105728
392;Speyer Airport;Speyer;Deutschland;0;EDRY;49.304722;8.451389;95;1.0;E;Europe/Berlin;49.304722, 8.451389
7855;Roitzschjora Airport;Roitzschjora;Deutschland;0;EDAW;51.57777786254883;12.494443893432617;88;1.0;U;Europe/Berlin;51.5777778625, 12.4944438934
8103;Brilon/Hochsauerlandkreis Airport;Brilon;Deutschland;0;EDKO;51.40250015258789;8.641667366027832;460;1.0;E;Europe/Berlin;51.4025001526, 8.64166736603
759;Mendig Airport;Mendig;Deutschland;0;ETHM;50.3660011292;7.31533002853;182;1.0;E;Europe/Berlin;50.3660011292, 7.31533002853
6450;Tannheim Airport;Tannheim;Deutschland;0;EDMT;48.0099983215;10.098610878;580;1.0;E;Europe/Berlin;48.0099983215, 10.098610878
375;Biberach a.d. Riß Airport;Biberach;Deutschland;0;EDMB;48.11111068725586;9.762778282165527;580;1.0;E;Europe/Berlin;48.1111106873, 9.76277828217
4166;Karlsruhe Baden-Baden Airport;Karlsruhe/Baden-Baden;Deutschland;FKB;EDSB;48.7793998718;8.08049964905;124;1.0;E;Europe/Berlin;48.7793998718, 8.08049964905
4207;Norden-Norddeich Airport;Norden;Deutschland;NOD;EDWS;53.633056640599996;7.19027805328;1;1.0;E;Europe/Berlin;53.633056640599996, 7.19027805328
5558;Heide-Büsum Airport;Büsum;Deutschland;HEI;EDXB;54.153331756600004;8.90166664124;2;1.0;E;Europe/Berlin;54.153331756600004, 8.90166664124
6840;Dinslaken/Schwarze Heide Airport;Dinslaken;Deutschland;0;EDLD;51.616112;6.865278;66;1.0;E;Europe/Berlin;51.616112, 6.865278
6910;Harle Airport;Harlesiel;Deutschland;0;EDXP;53.706668853759766;7.820278167724609;2;1.0;E;Europe/Berlin;53.706668853759766, 7.820278167724609
6975;Langeoog Airport;Langeoog;Deutschland;LGO;EDWL;53.74250030517578;7.497777938842773;2;1.0;E;Europe/Berlin;53.74250030517578, 7.497777938842773
7726;Linkenheim Airport;Linkenheim;Deutschland;0;EDRI;49.141666412353516;8.394721984863281;99;1.0;E;Europe/Berlin;49.141666412353516, 8.394721984863281
7831;Hunt Field;Lindau;Deutschland;LND;KLND;42.8152008057;-108.730003357;1703;-7.0;E;America/Denver;42.8152008057, -108.730003357
7905;Lahr Airport;Lahr;Deutschland;LHA;EDTL;48.3693008423;7.82772016525;156;1.0;E;Europe/Berlin;48.3693008423, 7.82772016525
7918;Regensburg-Oberhub Airport;Regensburg;Deutschland;0;EDNR;49.141944885253906;12.081944465637207;396;1.0;E;Europe/Berlin;49.141944885253906, 12.081944465637207
8006;Landshut Airport;Landshut;Deutschland;0;EDML;48.51166534423828;12.033332824707031;400;1.0;E;Europe/Berlin;48.51166534423828, 12.033332824707031
8035;Allstedt Airport;Allstedt;Deutschland;0;EDBT;51.38055419921875;11.446666717529297;284;1.0;E;Europe/Berlin;51.38055419921875, 11.446666717529297
8054;Spremberg-Welzow Airport;Welzow;Deutschland;0;EDCY;51.575557708740234;14.136943817138672;114;1.0;E;Europe/Berlin;51.575557708740234, 14.136943817138672
8085;Rotenburg (Wümme) Airport;Rotenburg Wuemme;Deutschland;0;EDXQ;53.128334045410156;9.348610877990723;30;1.0;E;Europe/Berlin;53.128334045410156, 9.348610877990723
8087;Osnabrück-Atterheide Airport;Osnabrueck;Deutschland;0;EDWO;52.286388;7.969722;87;1.0;E;Europe/Berlin;52.286388, 7.969722
8089;Flugplatz Hartenholm;Hasenmoor;Deutschland;0;EDHM;53.915001;10.035556;33;1.0;E;Europe/Berlin;53.915001, 10.035556
